,date,open,close,high,low,volume,code
943,2019-11-18,1225.12,1227.28,1229.45,1218.0,18037.0,sh600519
944,2019-11-19,1228.0,1232.32,1241.61,1225.02,20623.0,sh600519
945,2019-11-20,1230.0,1233.75,1239.51,1228.06,15280.0,sh600519
946,2019-11-21,1231.0,1231.3,1235.51,1221.06,19187.0,sh600519
947,2019-11-22,1223.0,1194.0,1229.0,1185.0,47054.0,sh600519
948,2019-11-25,1188.05,1182.06,1194.0,1172.06,38281.0,sh600519
949,2019-11-26,1186.68,1185.0,1198.6,1183.0,40239.0,sh600519
950,2019-11-27,1192.8,1189.95,1196.62,1184.51,19848.0,sh600519
951,2019-11-28,1194.97,1175.8,1197.51,1169.02,28844.0,sh600519
952,2019-11-29,1165.5,1129.0,1165.5,1112.89,82397.0,sh600519
953,2019-12-02,1118.2,1133.0,1140.02,1118.2,30784.0,sh600519
954,2019-12-03,1133.0,1118.0,1133.0,1117.74,27340.0,sh600519
955,2019-12-04,1140.0,1122.33,1144.66,1118.0,35283.0,sh600519
956,2019-12-05,1125.0,1129.8,1132.01,1118.0,21338.0,sh600519
957,2019-12-06,1135.97,1170.0,1170.0,1130.1,39506.0,sh600519
958,2019-12-09,1175.0,1158.7,1176.0,1156.1,21824.0,sh600519
959,2019-12-10,1159.6,1164.4,1165.0,1151.0,15086.0,sh600519
960,2019-12-11,1168.0,1158.98,1170.75,1155.55,14567.0,sh600519
961,2019-12-12,1156.0,1137.0,1159.94,1130.08,29409.0,sh600519
962,2019-12-13,1146.0,1163.0,1165.0,1146.0,30000.0,sh600519
963,2019-12-16,1163.0,1147.92,1163.0,1137.94,30936.0,sh600519
964,2019-12-17,1149.7,1169.98,1173.6,1143.03,42616.0,sh600519
965,2019-12-18,1174.0,1168.0,1175.2,1164.0,19640.0,sh600519
966,2019-12-19,1163.0,1157.4,1163.0,1152.0,19552.0,sh600519
967,2019-12-20,1162.18,1146.3,1162.18,1141.5,23563.0,sh600519
968,2019-12-23,1139.0,1149.3,1162.5,1136.0,25919.0,sh600519
